ID,Show 1    not 0,Project serial no. (EU or national),English project title,National project title,"Free info, tags, etc",Theme Innovation Area,Portfolios,Zones,Layers,Innovation levers,OPSI,Number of national partners,Number of international partners,Coordinating partner ID,Optional partner ID list (semicolon separated),Prep Start Date,Prep End Date,Prep co-financing by your organisation,Prep resources contributed partners,Optional Prep description,Received OR Potential,Start Date,End Date,Funding (national or €),Currency code,Co-financing by your organisation,Other co-financing amount,Optional Co financing partner ID/IDs (Semicolon separated),National Project Abstract,English Project Abstract,Funding Organisation Id,National main funding organisation name,English main funding organisation name, Comment for memory
1,1,Vinnova,BioTech Heights 1,,Förstudie,Ideas & Science for Society,BioTech Heights,Yellow-A,Layer 2,,,3,,LU,"FBL, TetraPak",2023-06-01,2023-09-30,50 000,70000,,R,"2023-11-10
",2025-05-09,3500000,SEK,,737000,,,,,,,
2,1,Vinnova,BioTech Heights 2,,Förstudie,Ideas & Science for Society,BioTech Heights,Yellow-A,Layer 2,,,4,,LU,"FBL, TetraPak;Region Skåne",,,,,,R,2025-06-01,2027-12-30,7500000,SEK,,1400000,,,,,,,
3,1,Tillväxtverket,LUPPP,,"forskning, Infrastruktur apparathallen",Ideas & Science for Society,BioTech Heights teknik & infrastruktur,Green-B,Layer 2,,,1,,LU,,,,,,,R,2025-01-01,2027-12-31,5452744,SEK,6900000,,,,,,,,
4,1,Investering_egna_medel,Industriell testinfrastuktur,,industri,Ideas & Science for Society,BioTech Heights teknik & infrastruktur,Blue-C,Layer 3,,,4,,LU,,,,,,,R,2025-01-01,2027-12-31,9000000,SEK,,,,,,,,,investering10 år  periodiserad över 3 år
5,1,Horizon,Unity for Water,,restvatten,Ideas & Science for Society,BioTech Heights teknik & infrastruktur,Green-B,Layer 2,,,13,,Mälardalen,,,,,,,R,2023-12-11,2026-12-11,14630739,SEK,,,,,,,,,
6,1,Horizon,Bioneer,,"Kemi, forskning",Ideas & Science for Society,BioTech Heights teknik & infrastruktur,Green-B,Layer 2,,,3,10,Sintef,,,,,,,R,2024-07-01,2028-06-60,95000000,SEK,,,,,,,,,Lu får 9000000
7,1,Vinnova,Test med tång,,,Ideas & Science for Society,BioTech Heights Konsument och handel,Green-B,Layer 2,,,1,,LU,,,,,,,R,2024-06-01,2024-12-31,500000,SEK,,200000,,,,,,,
8,1,Vinnova,Potentialen i potatis,,,Ideas & Science for Society,BioTech Heights Konsument och handel,Green-B,Layer 2,,,1,,LU,,,,,,,R,2024-06-01,2024-12-31,500000,SEK,,200000,,,,,,,
9,1,Vinnova,Reactor revolutionen,,,Ideas & Science for Society,BioTech Heights Konsument och handel,Green-B,Layer 2,,,1,,LU,,,,,,,R,2024-05-01,2025-03-31,700000,SEK,,,,,,,,,
10,1,Stiftelsen för strategisk forskning,Mobility Grant,,,Ideas & Science for Society,BioTech Heights teknik & infrastruktur,Green-B,Layer 2,,,1,,LU,,,,,,,R,2024-01-01,2025-12-31,1300000,SEK,,,,,,,,,
11,1,Vinnova,Framtidens Kylskåp,,,Ideas & Science for Society,BioTech Heights Konsument och handel,Green-B,Layer 2,,,1,,,,,,,,,R,2025-01-01,2025-08-01,700000,SEK,,,,,,,,,
12,1,Formas,Furfural från tång till ytbehandling av trägolv,,,Ideas & Science for Society,BioTech Heights teknik & infrastruktur,Green-B,Layer 2,,,4,,LU,Bona;Manatee Biomaterials;Axfoundation,,,,,,R,2025-12-01,2027-12-31,3959218,SEK,,2220605,,,,,,,I projektet Furfural från tång till ytbehandling av trägolv undersöks hur alger och tång kan användas som förnybara råvaror i nya biobaserade material. Genom att omvandla sockertång till furfural – en central byggsten inom grön kemi – ska projektet ta fram en miljövänlig lack som förlänger livslängden på trägolv. 
13,1,Formas,Initiativ för tångmaterial,,,Ideas & Science for Society,BioTech Heights Konsument och handel,Green-B,Layer 2,,,14,,LU,,,,,,,R,2025-12-01,2028-05-31,5411850,SEK,,,,,,,,,"Projektet utvecklar sockertång som ett hållbart råmaterial med stora miljöfördelar. Det ska standardisera kvalitet, skala upp raffineringsmetoder och skapa tidiga prototyper samt affärs- och miljöunderlag. Målet är att minska fossilberoendet och driva på cirkulära, tångbaserade material i Sverige."
14,1,Formas,Från potatisavfall till svampprotein – en hållbar livsmedelsinnovation,,,Ideas & Science for Society,BioTech Heights teknik & infrastruktur,Green-B,Layer 2,,,2,,LU,Orkla,,,,,,R,2025-01-01,2027-12-31,4000000,SEK,,,,,,,,,Projektet ska att odla den proteinrika matsvampen Fusarium venenatum direkt på potatisavfall för att omvandla rester till näringsrikt mykoprotein och samtidigt minska resursanvändning och klimatpåverkan.
15,1,Vinnova,Prototyping by upscaling precision fermentation of dairy proteins in novel bioreactor,,,Ideas & Science for Society,BioTech Heights Konsument och handel,Green-B,Layer 2,,,2,,LU,Curve,,,,,,R,2026-01-01,2026-12-31,700000,SEK,,,,,,,,,Pilot¬testning av Curves kostnadseffektiva bioreaktor för precisionsfermentering av mjölkproteiner.
