ID,Showing,"Project serial no.
(EU or national)",English project title,National project title,Theme innovation Area,Portfolio,Innovation levers,OPSI,Zone,Layer,Free tags/comments,Number of national partners,"Number of inter-
national partners",Coordinating partner ID,Optional partner ID list (semicolon separated),Prep Start Date,Prep End Date,Prep co-financing by your organisation,Prep resources contributed partners,Optional Prep description,Recieved OR Potential,Start Date,End Date,Funding (national or €),Currency code,Co-financing by your organisation,"Other co-financing amount
(currency as col. Q, left)",Optional Co financing partner ID/IDs (Semicolon separated),National Project Abstract,English Project Abstract,Funding Organisation Id,National main funding organisation name,English main funding organisation name
1,1,035,,Klimatpaketet,,Base and/or generic,Base and/or generic,,Blue-C,Layer 1,,,,Lunds Kommun,Lunds kommun,,,,,,,44562,45656,21000000,SEK,,,,,,,,
2,1,036,,Basteam,,Base and/or generic,Base and/or generic,,Blue-C,Layer 1,,,,Lunds Kommun,Lunds Kommun,,,,,,,43466,45656,18277984,SEK,,,,,,,,
3,1,001,CoPilot,CoPilot,,All portfolios,Learning and Capabilities,Adaptive,Green-B,Layer 2,,6,,Lunds kommun,Lunds kommun; Lunds universitet; Future by Lund; Akademiska hus AB; Kraftringen AB; Lunds kommuns fastighets AB,,,,,,R,45413,46142,6646636,SEK,,,,,,,,
4,1,002,,Solbruk i Skåne,,Renewable energy,Learning and Capabilities,Adaptive,,,,,,Region Skåne,Region Skåne; Lunds kommun; Energikontor Syd AB; Länsstyrelsen Skåne; Mälardalens Universitet; RISE; Sveriges Lantbruksuniversitet,,,,,,,45170,46752,19569353,SEK,,,,,,,,
5,1,007,,Active Cities,,Transport & Mobility ,Technology/Infrastructure,Adaptive,,,,,,Gemeente Leeuwarden,Gemeente Groningen; Lunds Kommun; Aarhus Kommune; Bergen Kommune; Freie und Hansestadt Hamburg Bezirk Eimsbuettel; Stad Mechelen; Ville de Lille; Aalborg Universitet; Katholieke Universiteit Leuven,,,,,,,44837,46022,56944141,SEK,,,,,,,,
6,1,008,,Ett klimatneutralt och flexibelt mobilitets och energisystem i Lunds innovationsdistrikt,,Energy efficiency,Learning and Capabilities,Adaptive,,,,,,Lunds kommun,Lunds universitet; Kraftringen Energi AB; Trafikverket; Lunds Kommun,,,,,,,44795,44985,375000,SEK,,,,,,,,
7,1,014,,CoAction steg 3,,Transport & Mobility ,Learning and Capabilities,Adaptive,Green-B,Layer 2,,,,Lunds kommun,AB Tetra Pak; Akademiska hus; Alfa Laval; Axis; Camurus; Coride; EC2B; Energy Opticon; ESS; Future by Lund /FbL innovation ek. för.; Ideon Science Park; Innovation Skåne; Kraftringen; LKF; LKP; Lunds universitet; Lunds universitet förvaltning; Medicon Village Modity; Region Skåne; RISE; Trafikverket; Trivector; ViaEuropa; Wihlborgs; Lunds Kommun,,,,,,,45453,46190,42788179,SEK,,,,,,,,
8,1,018,,Ökad omställningstakt via klimatnyttoanalys av investeringar,,All portfolios,Finance and Funding,Enhancement,,,,,,Lunds kommun,Lundskommun; Kraftringen,,,,,,,45231,45595,2009100,SEK,,,,,,,,
9,1,019,,SCOPE / purchasing,,Circular economy & sustainable consumption,Governance and Policy,Enhancement,,,,,,Hållbar utveckling Skåne,Eslövs kommun; Helsingborgs kommun; Kristianstads kommun; Lomma kommun; Malmö stad; Tomelilla kommun; Lunds Kommun,,,,,,,45352,46446,11903536,SEK,,,,,,,,
10,1,020,,Increased pace of transition through climate benefit analysis of investments,,All portfolios,Capacity and Capacity building,Enhancement,,,,,,Lunds kommun,Kraftringen; Lunds Kommun,,,,,,,45231,45595,2009100,SEK,,,,,,,,
11,1,021,,Mobilitetsmetoden - Hållbarhetsarbete för fastighetsnära resbeteende,,Transport & Mobility ,Learning and Capabilities,Enhancement,,,,,,PlanM AB,PlanM AB; Halmstads allmännyttiga bostadsbolag (HFAB); Halmstads Energi & Miljö AB (HEM); Halmstads kommum; Malmö stad; Lunds kommun,,,,,,,44743,45504,2000000,SEK,,,,,,,,
12,1,022,,Coacher för energi och klimat,,Energy efficiency,Democracy/Participation,Enhancement,,,,,,Lunds kommun,Kävlinge kommun; Lomma kommun; Staffanstorps kommun; Svedala kommun; Lunds kommun,,,,,,,43466,45657,3043000,SEK,,,,,,,,
13,1,025,,UTSICT,,All portfolios,Learning and Capabilities,Enhancement,,,,,,IUC SYd,Högskolan Kristianstad; Lunds universitet; Malmö universitet; Malmö stad; Kristianstads kommun; Region Skåne; Helsingborgs stad; IUC syd,,,,,,,45536,46630,3926000,SEK,,,,,,,,
14,1,027,,Policylab for naturebased solutions i cross-municipality climateadaption,,All portfolios,Governance and Policy,Mission-oriented,,,,,,Lunds Universitet,Eslövs kommun; Sjöbo kommun; Hållbar utveckling Skåne; Stockholms universitet; Lunds kommun,,,,,,,45231,45961,5999000,SEK,,,,,,,,
15,1,028,,Dramatically Reducing Embodied Carbon in Europe’s Built Environment,,Net zero construction,Learning and Capabilities,Mission-oriented,,,,,,Carbon Neutral Cities Alliance,"Carbon Neutral Cities Alliance, Stockholm, Glasgow, Tampere, Turku, Helsingfors, Lille, Nantes, Bordeaux, Amsterdam, Oslo, Valladolid, IVL, Lunds kommun",,,,,,,44621,45351,372985,SEK,,,,,,,,
16,1,032,,Klimatneutrala Lund steg 1,,All portfolios,Learning and Capabilities,Mission-oriented,,,,,,Lunds Kommun,IVL Svenska miljöinstitutet; ustwo AB; Capgemini AB; Sensative AB; Kraftringen Energi AB; Siemens AB; Eco pilot; Wihlborgs AB; Sydö Property Aktiebolag; Midrock AB; Veidekke Bostad AB; Wästbygg Projektutveckling AB; Lunds kommun,,,,,,,43709,44439,4799980,SEK,,,,,,,,
17,1,033,,Fossilbränslefria kommuner i Skåne II,,Transport & Mobility ,Learning and Capabilities,Enhancement,,,,,,Länsstyrelsen Skåne,Energikontoret Skåne; Eslöv Kommun; Helsingborg Stad; Höör Kommun; Kristianstad kommun; Lunds kommun; Malmö Stad; Tomelilla kommun; Länsstyrelsen skåne,,,,,,,43466,44926,18014813,SEK,,,,,,,,
18,1,034,,Mobilitet på tvärs,,Transport & Mobility ,Social innovation,,,,,,,Gate 21,Region Hovedstaden; Slagelse Kommune; Frederiksbergs Kommune; Fredensborg Kommune; Lejre Kommune; Roskilde Kommune; Roskilde Universite; DTU Diplom; Movia; 4-Leaf; Consulting A/S; CONCITO; Innovation Skåne; Lunds kommun / Future by Lund; Sjöbo kommun; Tomelilla kommun; Mobile Heights,,,,,,,43922,44834,28785000,SEK,,,,,,,,
19,1,006,,Kapacitetsbyggande för eko-social integration,,All portfolios,Governance and Policy,Adaptive,,,,,,Lunds Kommun,Lunds Kommun; Lunds Universitet,,,,,,,44896,45443,1487994,SEK,,,,,,,,
20,1,023,,CAR Creating Automotive Renewal,,Transport & Mobility ,Finance and Funding,Enhancement,,,,,,IUC Syd,Lunds kommun; DTU; Gdansk University of technology; Iden; Rise; Bornholm Kommun; Rostock Kommun; Szczecin Kommun; IUC syd,,,,,,,43101,44561,15932451,SEK,,,,,,,,
21,1,024,,"Fremtiens intelligenta mobilitet i Greater Copenhagen, FIMO",,Transport & Mobility ,Learning and Capabilities,Enhancement,,,,,,Gate21,"Capital Region of Copenhagen, Region Zeeland, Movia, Glostrup Municipality, Hvidovre Municipality, Køge Municipality, Lunds Municipality, Helsingborg Municipality, m.fl.",,,,,,,43101,44561,10916500,SEK,,,,,,,,
22,1,026,,Circular Mindset for Change,,Circular economy & sustainable consumption,Governance and Policy,Mission-oriented,,,,,,Ministry of Infrastructure and Water Management -Rijkswaterstaat,Ministry of Infrastructure and WaterManagement - Rijkswaterstaat; Commission for Regional Development andCoordination of the Alentejo; Helsinki Region Environmental ServicesAuthority HSY; Province of Antwerp; Central Danube Development AgencyNonprofit Ltd.; Consejería de Sostenibilidad; MedioAmbiente y Economía Azul de la Junta deAndalucía; South Transdanubian Regional Innovation Agency; Cleantech Bulgaria Foundation; ACR+; Association of Cities and Regions for SustainableResource Management,,,,,,,45383,46934,24372647,SEK,,,,,,,,
23,1,029,,Transforming Cities through Positive Energy Districts,,Energy efficiency,Governance and Policy,Mission-oriented,,,,,,KTH - Kungliga tekniska högskolan,Linköpings universitet; Lunds kommun; ElectriCITY innovation; DUSS-explorers; Vrije Universitet Bryssel; Austrian Academic of Sciences; FH Teknikum Wien; Urban Future Global Conference; Kleboth und Dollnig ZT GmbH; StadsLABOR Innovationen für urbane Lebensqualität GmbH,,,,,,,44228,44957,10640000,SEK,,,,,,,,
24,1,030,,Parkcess.com – Better use of space,,Transport & Mobility ,Technology/Infrastructure,Mission-oriented,,,,,,Urbanivation AB,Castellum; Lunds kommun; Wihlborgs Fastigheter AB; Helsingborgs kommun; Uppsala kommun; Borlänge kommun,,,,,,,44819,45016,1335000,SEK,,,,,,,,
