,,Förklaring,2019,2020,2021,2022,2023,2024
Transport (T),Walking,,,,,,,
,T - Cycling & Walking,Cykling och gång har inte kunnat separeras så alla investeringskostnader för detta finns inom kategorin Cycling. Kategorin innehåller både investeringar i cyklar och i GC-vägar.,,,,,,
,T - Car,"Kategorin innehåller investeringar i elektriska och gasdrivna fordon och maskiner, laddinfrastruktur samt pendlarparkeringar.", 122 000 , 91 000 , 182 000 , -   , 5 913 000 , 2 577 000 
,T - Light Rail,Kategorin innehåller alla typer av kollektivtrafikinvesteringar. ,,,,,,
,T - Grön obligation,,,,,,,
Sum,,, 122 000 , 91 000 , 182 000 , -   , 5 913 000 , 2 577 000 
Fastigheter (BE),BE - Residential,, -   , 800 000 , 1 600 000 , 800 000 , 47 200 000 , 80 450 000 
,BE - Commercial ,,,,,,,
,BE - Public Buildings,Kategorin innehåller investeringar i nya byggnader som hade klarat kraven i det gröna ramverket samt energieffektiviseringsåtgärder i både byggnader och gatubeylsning. ,,,,,,
,BE - Grön obligation ,, -   , 288 000 000 , -   , -   , 403 000 000 , 623 000 000 
Sum,,, -   , 288 800 000 , 1 600 000 , 800 000 , 450 200 000 , 703 450 000 
Energi (ES),ES - Solar Thermal / Solar PV,"Kategorin innehåller solcellsinvesteringar. Solcellsinvesteringar misstänks också kunna hamna på andra konton, t ex som del av byggprojekt.",,,,,, 10 180 000 
,,"Grön obligation, Förnybar energi",,,,,,
,ES - Oil,,,,,,,
,ES - Natural Gas,Kategorin innehåller konverteringar från gas till fjärrvärme., 1 056 000 , 3 125 000 , 3 600 000 , 3 713 000 , -   , -   
,ES - Coal/Lignite) ,,,,,,,
,ES - Wind,,,,,,,
,ES - Hydro,,,,,,,
,ES - Grön obligation ,,,,,,,
Sum,SUM,,, 3 125 000 ,, 3 713 000 , -   , 10 180 000 
Grön infrastruktur och naturbaserade lösningar (GN),"(e.g. Parks, Green Roofs, Community Gardens, Rivers, Protected Areas, Forestry) ","Kategorin innehåller investeringar i parker, grönområden, översvämnings/dagvattenåtgärder mm.",,,,,,
,Grön obligation ,,,,,,,
Sum,,, -   , -   , -   , -   , -   , -   
Waste and Circular Economy (WCE) ,"(e.g. Household Waste, Industrial Waste, Other Commercial Waste, Sectoral By-products ) ",Kategorin innehåller investeringar i miljöhus mm.,,,,,,
Sum,,, -   , -   , -   , -   , -   , -   
TOTAL SUM (SEK),,, 122 000 , 292 016 000 , 1 782 000 , 4 513 000 , 456 113 000 , 716 207 000 
"TOTAL SUM (EURO) (1 euro = 11,24 SEK)",,, 10 854 , 25 980 071 , 158 541 , 401 512 , 40 579 448 , 63 719 484 
Total muncipal budget (euro),,,,,,,,
% of municipal budget for Climate actions and projects,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
