ProjectId,ProjectTitleSv,ProjectTitleEn,FundingsSek,ProjectStartDate,ProjectEndDate,CoordinatingOrganisationNameEn,FundingOrganisationNameEn,label,long_label,short_label,CoordinatingOrganisationCountry,TotalFundingsSek,Role,ProjectStartYear,ProjectEndYear
101000395_EU-H2020_Part_006,,Pathways for transitions to sustainability in livestock husbandry and food systems,857500,2021-09-01,2026-08-31,AGROVAST LIVSMEDEL AKTIEBOLAG,European Commission - Horizon 2020,"Pathways for transitions to sustainability in livestock husbandry and food systems
101000395_EU-H2020_Part_006","Pathways for transitions to sustainability in livestock husbandry and food systems
101000395_EU-H2020_Part_006
Funding:        857 500.00  SEK
2021-09-01  -  2026-08-31
Total cash funding:    89 989 063 SEK
In-kind:    89 989 063 SEK","Pathways for transitions to sustainability in livestock husbandry and food systems
101000395_EU-H2020_Part_006
[        857 500.00  SEK]",SE,90269074.9,participant,2021,2026
101007937_EU-H2020_Part_007,,Building a reproducible single-cell experimental workflow to capture tumour cell persistence,0,2021-07-01,2026-06-30,ASTRAZENECA AB,European Commission - Horizon 2020,"Building a reproducible single-cell experimental workflow to capture tumour cell persistence
101007937_EU-H2020_Part_007","Building a reproducible single-cell experimental workflow to capture tumour cell persistence
101007937_EU-H2020_Part_007
Funding:              0.00  SEK
2021-07-01  -  2026-06-30
Total cash funding:    70 579 800 SEK
In-kind:    70 579 800 SEK","Building a reproducible single-cell experimental workflow to capture tumour cell persistence
101007937_EU-H2020_Part_007
[              0.00  SEK]",SE,153204800,participant,2021,2026
101034347_EU-H2020_Part_016,,Optimal treatment for patients with solid tumours in Europe through Artificial intelligence,0,2021-10-01,2026-09-30,ASTRAZENECA AB,European Commission - Horizon 2020,"Optimal treatment for patients with solid tumours in Europe through Artificial intelligence
101034347_EU-H2020_Part_016","Optimal treatment for patients with solid tumours in Europe through Artificial intelligence
101034347_EU-H2020_Part_016
Funding:              0.00  SEK
2021-10-01  -  2026-09-30
Total cash funding:   104 599 970 SEK
In-kind:   104 599 970 SEK","Optimal treatment for patients with solid tumours in Europe through Artificial intelligence
101034347_EU-H2020_Part_016
[              0.00  SEK]",SE,226899660,participant,2021,2026
948265_EU-H2020_Coor_001,,Scalable Quantum Optical Interconnects,20475000,2021-11-01,2026-10-31,Chalmers University of Technology,European Commission - Horizon 2020,"Scalable Quantum Optical Interconnects
948265_EU-H2020_Coor_001","Scalable Quantum Optical Interconnects
948265_EU-H2020_Coor_001
Funding:     20 475 000.00  SEK
2021-11-01  -  2026-10-31
Total cash funding:    20 475 000 SEK
In-kind:    20 475 000 SEK","Scalable Quantum Optical Interconnects
948265_EU-H2020_Coor_001
[     20 475 000.00  SEK]",SE,20475000,coordinating,2021,2026
101001854_EU-H2020_Coor_001,,Single Molecule Analysis in Nanoscale Reaction Chambers,19995500,2021-02-01,2026-07-31,Chalmers University of Technology,European Commission - Horizon 2020,"Single Molecule Analysis in Nanoscale Reaction Chambers
101001854_EU-H2020_Coor_001","Single Molecule Analysis in Nanoscale Reaction Chambers
101001854_EU-H2020_Coor_001
Funding:     19 995 500.00  SEK
2021-02-01  -  2026-07-31
Total cash funding:    19 995 500 SEK
In-kind:    19 995 500 SEK","Single Molecule Analysis in Nanoscale Reaction Chambers
101001854_EU-H2020_Coor_001
[     19 995 500.00  SEK]",SE,19995500,coordinating,2021,2026
950408_EU-H2020_Coor_002,,MechANIsms and actors of Feasible Energy Transitions,14244080,2021-05-01,2026-04-30,Chalmers University of Technology,European Commission - Horizon 2020,"MechANIsms and actors of Feasible Energy Transitions
950408_EU-H2020_Coor_002","MechANIsms and actors of Feasible Energy Transitions
950408_EU-H2020_Coor_002
Funding:     14 244 080.00  SEK
2021-05-01  -  2026-04-30
Total cash funding:    14 994 080 SEK
In-kind:    14 994 080 SEK","MechANIsms and actors of Feasible Energy Transitions
950408_EU-H2020_Coor_002
[     14 244 080.00  SEK]",SE,14994080,coordinating,2021,2026
101022487_EU-H2020_Part_025,,"Providing access to cost-efficient, replicable, safe and flexible CCUS",8733970,2021-05-01,2026-08-31,Chalmers University of Technology,European Commission - Horizon 2020,"Providing access to cost-efficient, replicable, safe and flexible CCUS
101022487_EU-H2020_Part_025","Providing access to cost-efficient, replicable, safe and flexible CCUS
101022487_EU-H2020_Part_025
Funding:      8 733 970.00  SEK
2021-05-01  -  2026-08-31
Total cash funding:   149 838 740 SEK
In-kind:   149 838 740 SEK","Providing access to cost-efficient, replicable, safe and flexible CCUS
101022487_EU-H2020_Part_025
[      8 733 970.00  SEK]",SE,192124367.5,participant,2021,2026
101036756_EU-H2020_Part_015,,"ZeroPM: Zero pollution of Persistent, Mobile substances",8237600,2021-10-01,2026-09-30,Chalmers University of Technology,European Commission - Horizon 2020,"ZeroPM: Zero pollution of Persistent, Mobile substances
101036756_EU-H2020_Part_015","ZeroPM: Zero pollution of Persistent, Mobile substances
101036756_EU-H2020_Part_015
Funding:      8 237 600.00  SEK
2021-10-01  -  2026-09-30
Total cash funding:   116 166 055 SEK
In-kind:   116 166 055 SEK","ZeroPM: Zero pollution of Persistent, Mobile substances
101036756_EU-H2020_Part_015
[      8 237 600.00  SEK]",SE,116166055,participant,2021,2026
101034126_EU-H2020_Part_023,,Pilot using Independent Local & Open Technologies,4993537.5,2021-12-01,2026-02-28,Chalmers University of Technology,European Commission - Horizon 2020,"Pilot using Independent Local & Open Technologies
101034126_EU-H2020_Part_023","Pilot using Independent Local & Open Technologies
101034126_EU-H2020_Part_023
Funding:      4 993 537.50  SEK
2021-12-01  -  2026-02-28
Total cash funding:   149 999 625 SEK
In-kind:   149 999 625 SEK","Pilot using Independent Local & Open Technologies
101034126_EU-H2020_Part_023
[      4 993 537.50  SEK]",SE,299999250,participant,2021,2026
101037796_EU-H2020_Part_022,,Systemic Innovations for a SusTainable reduction of the EuRopean food waStage,3341902.5,2021-11-01,2026-04-30,Chalmers University of Technology,European Commission - Horizon 2020,"Systemic Innovations for a SusTainable reduction of the EuRopean food waStage
101037796_EU-H2020_Part_022","Systemic Innovations for a SusTainable reduction of the EuRopean food waStage
101037796_EU-H2020_Part_022
Funding:      3 341 902.50  SEK
2021-11-01  -  2026-04-30
Total cash funding:    83 397 046 SEK
In-kind:    83 397 046 SEK","Systemic Innovations for a SusTainable reduction of the EuRopean food waStage
101037796_EU-H2020_Part_022
[      3 341 902.50  SEK]",SE,101011178,participant,2021,2026
